Sheet Number;Sheet Name;GEN_ViewSubgroup;SHE_DisciplineBuildingZone
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.01;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.02;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.03;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.04;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.05;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.06;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.07;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.08;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.09;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.10;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.11;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.12;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04068-EG-D2-IDOM-DD.13;CP1 Box. Cable Trays. General Arrangement. Ground Floor +0.00;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04069-E1-D2-IDOM-DD.01;CP1 Box. Cable Trays. General Arrangement. Level +5.50;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04069-E1-D2-IDOM-DD.02;CP1 Box. Cable Trays. General Arrangement. Level +5.50;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04069-E1-D2-IDOM-DD.03;CP1 Box. Cable Trays. General Arrangement. Level +5.50;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04069-E1-D2-IDOM-DD.04;CP1 Box. Cable Trays. General Arrangement. Level +5.50;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
SFVA-1-00121-EL-F-04069-E1-D2-IDOM-DD.05;CP1 Box. Cable Trays. General Arrangement. Level +5.50;200_ELECTRICAL_BOXES;BOX. Cell Production 1 (CP1)
